description,type,protein_100g,carbs_100g,fat_100g
spaghetti sauce with meat and added vegetables,vegetable,6.03,6.05,4.13
spaghetti sauce with poultry and added vegetables,vegetable,6.39,6.05,2.39
spaghetti sauce with seafood and added vegetables,vegetable,5.43,6.6,1.25
"spaghetti, with meatballs in tomato sauce, canned",vegetable,4.37,11.4,4.11
"babyfood, dinner, spaghetti and tomato and meat, junior",vegetable,2.57,11.4,1.37
"babyfood, dinner, spaghetti and tomato and meat, toddler",vegetable,5.3,10.8,1.0
"lettuce, cooked",vegetable,1.06,4.21,3.11
"quinoa, cooked",carb,4.4,21.3,1.92
"soybeans, cooked",protein,16.92,7.77,14.84
"tempeh, cooked",protein,19.9,7.62,11.4
cooked quinoa,carb,4.29,22.9,2.14
"bratwurst, chicken, cooked",protein,19.4,0.0,10.4
"broccoli raab, cooked",vegetable,3.83,3.12,0.52
"broccoli, chinese, cooked",vegetable,1.22,4.72,3.42
"broccoli, cooked, as ingredient",vegetable,2.68,6.53,0.35
"cabbage, cooked, as ingredient",vegetable,1.0,6.65,0.24
"cabbage, napa, cooked",vegetable,1.1,2.23,0.17
"cabbage, red, cooked",vegetable,1.26,6.85,2.86
"cabbage, savoy, cooked",vegetable,2.02,6.16,2.75
"carrots, cooked, as ingredient",vegetable,0.98,10.7,0.36
"cauliflower, cooked, as ingredient",vegetable,2.0,5.18,0.29
"celery, cooked, as ingredient",vegetable,0.53,3.57,0.17
"couscous, plain, cooked",carb,3.77,23.11,0.16
"crustaceans, shrimp, cooked",protein,24.0,0.2,0.28
"soup, mushroom barley, canned, condensed",vegetable,1.5,9.6,1.8
"potato, baked, nfs",carb,1.95,21.45,0.1
"potato, baked, peel eaten",carb,2.49,21.05,0.13
"potato, baked, peel not eaten",carb,1.95,21.45,0.1
"potato, baked, peel eaten, with chili",carb,4.85,17.33,6.23
"potato, baked, peel eaten, with vegetables",carb,4.12,17.76,6.37
"potato, baked, peel eaten, with meat",carb,4.74,17.09,8.28
"potato, baked, peel not eaten, with chili",carb,4.45,17.62,6.21
"potato, baked, peel not eaten, with vegetables",carb,3.68,18.09,6.34
"potato, baked, peel not eaten, with meat",carb,4.32,17.4,8.26
"sweet potato, baked, fat added",carb,1.58,17.14,4.53
"sweet potato, baked, no added fat",carb,1.64,17.98,0.39
"sweet potato, baked, ns as to fat",carb,1.58,17.14,4.53
"potato, baked, peel eaten, with sour cream",carb,2.47,18.7,5.46
"potato, baked, peel not eaten, with sour cream",carb,2.0,19.05,5.44
"sweet potato, frozen, cooked, baked, with salt",carb,1.71,23.4,0.12
"sweet potato, cooked, baked in skin, flesh, with salt",carb,2.01,20.7,0.15
"sweet potato, frozen, cooked, baked, without salt",carb,1.71,23.4,0.12
"sweet potato, cooked, baked in skin, flesh, without salt",carb,2.01,20.7,0.15
"chicken wing, baked, coated",protein,21.42,3.98,16.87
"sweet potato, nfs",carb,1.58,17.14,4.53
"sweet potato, canned, mashed",carb,1.98,23.2,0.2
"sweet potato, cooked, as ingredient",carb,1.65,18.05,0.4
"babyfood, corn and sweet potatoes, strained",carb,1.26,15.2,0.28
"babyfood, juice, apple-sweet potato",carb,0.3,11.4,0.1
"babyfood, vegetables, sweet potatoes strained",carb,1.1,13.2,0.1
"babyfood, vegetables, sweet potatoes, junior",carb,1.1,14.0,0.1
"sweet potato fries, from fresh",carb,1.49,16.35,9.42
"sweet potato, canned, fat added",carb,1.58,20.05,4.35
"sweet potato, canned, no added fat",carb,1.64,21.04,0.2
"sweet potato, canned, ns as to fat",carb,1.58,20.05,4.35
"sweet potato, canned, vacuum pack",carb,1.65,21.1,0.2
"baby toddler sweet potatoes, stage 1",carb,1.1,13.2,0.1
"baby toddler sweet potatoes, stage 2",carb,1.1,14.0,0.1
"chicken breast, rotisserie, skin not eaten",protein,28.04,0.0,3.57
"chicken breast, rotisserie, skin eaten",protein,26.37,0.09,7.67
"chicken breast, sauteed, skin eaten",protein,25.72,0.0,10.62
"chicken breast, sauteed, skin not eaten",protein,29.62,0.0,5.45
"chicken breast, stewed, skin eaten",protein,24.7,0.0,8.28
"chicken breast, stewed, skin not eaten",protein,27.96,0.0,3.26
"chicken breast, grilled with sauce, skin eaten",protein,21.15,7.34,9.15
"chicken breast, grilled with sauce, skin not eaten",protein,24.33,7.34,4.93
"oscar mayer, chicken breast (honey glazed)",protein,19.8,4.3,1.5
"chicken breast, baked, coated, skin / coating eaten",protein,23.75,4.01,9.9
"chicken breast, baked, coated, skin / coating not eaten",protein,29.62,0.0,5.45
"chicken breast, deli, rotisserie seasoned, sliced, prepackaged",protein,17.4,2.92,1.86
"chicken breast, fat-free, mesquite flavor, sliced",protein,16.8,2.25,0.39
"chicken breast, grilled without sauce, skin eaten",protein,25.72,0.0,10.62
"chicken breast, grilled without sauce, skin not eaten",protein,29.62,0.0,5.45
"chicken breast, ns as to cooking method, skin eaten",protein,26.37,0.09,7.67
"chicken breast, ns as to cooking method, skin not eaten",protein,28.04,0.0,3.57
"chicken breast, oven-roasted, fat-free, sliced",protein,16.8,2.17,0.39
salmon,protein,15.2,2.65,7.95
"fish, salmon, canned",protein,24.62,0.0,4.21
"fish, salmon, fried",protein,17.45,11.72,20.68
"fish, salmon, grilled",protein,25.92,0.0,16.48
"fish, salmon, nfs",protein,25.4,0.01,18.4
"fish, salmon, raw",protein,20.44,0.0,11.16
"fish, salmon, smoked",protein,18.28,0.0,4.32
"fish, salmon, steamed",protein,25.82,0.0,14.1
"fish, salmon cake or patty",protein,16.07,4.46,22.1
"fish, salmon, chinook, raw",protein,19.9,0.0,10.4
"fish, salmon, chinook, smoked",protein,18.3,0.0,4.32
"fish, salmon, chum, raw",protein,20.1,0.0,3.77
"fish, salmon, pink, raw",protein,20.5,0.0,4.4
"fish, salmon, sockeye, raw",protein,22.2,0.0,4.69
"fish, salmon, atlantic, farmed, raw",protein,20.4,0.0,13.4
"fish, salmon, atlantic, wild, raw",protein,19.8,0.0,6.34
"fish, salmon, coho, farmed, raw",protein,21.3,0.0,7.67
"fish, salmon, coho, wild, raw",protein,21.6,0.0,5.93
"fish, salmon, chinook, cooked, dry heat",protein,25.7,0.0,13.4
"fish, salmon, chinook, smoked, (lox), regular",protein,18.3,0.0,4.32
"fish, salmon, chum, cooked, dry heat",protein,25.8,0.0,4.83
"fish, salmon, chum, dried (alaska native)",protein,62.1,0.0,14.4
"fish, salmon, chum, raw (alaska native)",protein,20.7,0.0,3.67
"fish, salmon, pink, canned, drained solids",protein,23.1,0.0,5.02
"fish, salmon, pink, cooked, dry heat",protein,24.6,0.0,5.28
"fish, salmon, sockeye, canned, drained solids",protein,23.6,0.0,7.39
"fish, salmon, sockeye, cooked, dry heat",protein,26.5,0.0,5.57
"fish, salmon, tipnuk, fermented (alaska native)",protein,15.9,0.0,10.6
"salmon, sockeye, canned, total can contents",protein,20.6,0.0,7.17
"fish, salmon, atlantic, farmed, cooked, dry heat",protein,22.1,0.0,12.4
"fish, salmon, atlantic, wild, cooked, dry heat",protein,25.4,0.0,8.13
"fish, salmon, chum, canned, drained solids with bone",protein,21.4,0.0,5.5
"fish, salmon, coho (silver), raw (alaska native)",protein,22.6,0.0,5.57
"fish, salmon, coho, farmed, cooked, dry heat",protein,24.3,0.0,8.23
"fish, salmon, coho, wild, cooked, dry heat",protein,23.4,0.0,4.3
"fish, salmon, coho, wild, cooked, moist heat",protein,27.4,0.0,7.5
"fish, salmon, king (chinook), raw (alaska native)",protein,20.2,0.0,11.7
"fish, salmon, king, chinook, liver (alaska native)",protein,16.6,4.3,8.0
"fish, salmon, king, with skin, kippered, (alaska native)",protein,23.2,0.0,13.0
"fish, salmon, pink, canned, total can contents",protein,19.7,0.0,4.97
"fish, salmon, red, (sockeye), kippered (alaska native)",protein,24.5,0.0,4.75
"fish, salmon, sockeye (red), raw (alaska native)",protein,21.9,0.0,7.28
"fish, salmon, king, chinook, kippered, canned (alaska native)",protein,30.7,0.0,15.9
"fish, salmon, king, chinook, smoked and canned (alaska native)",protein,23.2,0.0,5.9
"fish, salmon, red, (sockeye), canned, smoked (alaska native)",protein,35.2,0.0,7.26
"fish, salmon, red, canned, bones removed (alaska native)",protein,27.3,0.0,5.76
"salmon, red (sockeye), filets with skin, smoked (alaska native)",protein,60.6,0.0,11.4
"salmon, sockeye, canned, drained solids, without skin and bones",protein,26.3,0.0,5.87
"fish, salmon, chum, canned, without salt, drained solids with bone",protein,21.4,0.0,5.5
"fish, salmon, pink, canned, drained solids, without skin and bones",protein,24.6,0.0,4.21
"fish, salmon, pink, canned, without salt, solids with bone and liquid",protein,19.8,0.0,6.05
